id,name,description,min_players,max_players,time
1,The Quacks of Quedlinburg,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",2,4,45
2,Robinson Crusoe: Adventures on the Cursed Island,Work together — with friends or with Friday — to survive on a deserted island.,1,4,60–120
3,Clank!: Legacy – Acquisitions Incorporated,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",2,4,90–120
4,On Mars,"Be a part of the first Martian colony, striving to be the best contributor.",1,4,90–150
5,Terra Mystica,Play fantastical factions.  Expand your influence by terraforming and joining cults.,2,5,60–150
6,Tzolk'in: The Mayan Calendar,"Lead your people, build monuments and make offerings to earn the favour of the gods.",2,4,90
7,Lisboa,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,1,4,60–120
8,Great Western Trail,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,2,4,75–150
9,Gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,4,60–120
10,Star Wars: Imperial Assault,Play as Rebel or Imperial forces to fulfill mission objectives.,1,5,60–120
11,Concordia,Traders compete to build the greatest empire in the Roman Mediterranean.,2,5,100
12,Food Chain Magnate,Strategically hire and manage your workforce to outcompete rival fast food chains.,2,5,120–240
13,Le Havre,"Establish a supply chain by collecting resources, building industries, and shipping.",1,5,30–150
14,The 7th Continent,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,1,4,5–1000
15,Tigris & Euphrates,Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.,2,4,90
16,Ark Nova,Design a modern zoo to run a successful park and to support conservation projects.,1,4,90–150
17,Tainted Grail: The Fall of Avalon,"Exploration, battle and diplomacy in a dark Arthurian realm.",1,4,60–120
18,Nemesis,Survive an alien-infested spaceship but beware of other players and their agendas.,1,5,90–180
19,Gloomhaven: Jaws of the Lion,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,1,4,30–120
20,Brass: Birmingham,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",2,4,60–120
21,Anachrony,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,1,4,30–120
22,Everdell,Use resources to build a village of critters and constructions in this woodland game.,1,4,40–80
23,Pandemic Legacy: Season 1,Mutating diseases are spreading around the world - can your team save humanity?,2,4,60
24,Keyflower,Compete in a unique auction system to build the most prosperous village.,2,6,90–120
25,Caylus,Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.,2,5,60–150
26,Brass: Lancashire,Test your economic mettle as you build and network in the Industrial Revolution.,2,4,60–120
27,Root,Decide the fate of the forest as woodland factions fight for contrasting goals.,2,4,60–90
28,Pandemic Legacy: Season 2,The world is a mystery after a devastating pandemic—where will your team go?,2,4,60
29,Clank!: A Deck-Building Adventure,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,2,4,30–60
30,Through the Ages: A New Story of Civilization,Rewrite history as you build up your civilization in this epic card drafting game!,2,4,120
31,Through the Ages: A Story of Civilization,"Lead your civilization through strategic drafting of leaders, technologies, and more.",2,4,120
32,Kingdom Death: Monster,Try to survive in a nightmarish world that lies under eternal darkness.,1,4,60–180
33,Eclipse: Second Dawn for the Galaxy,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",2,6,60–200
